Year,Fieldwork date,Polling firm,Sample size,FdI,PD,M5S,Lega,FI,A,IV,AVS,+E,PTD,NM,ScN [ ay ],Others,Lead
2024,18– 23 Sep,SWG,"1,200",30.1,22.6,11.7,8.2,8.5,3.1,2.7,7.1,1.5,,1.0,1.0,2.5,7.5
2024,19 Sep,Noto,,30.0,22.0,12.5,8.5,9.0,2.5,3.0,7.0,2.0,,,,2.0,8.0
2024,18– 19 Sep,Termometro Politico,"3,000",29.1,23.2,9.9,9.0,9.3,3.0,2.0,7.0,1.7,1.6,,0.9,3.3,5.9
2024,17– 18 Sep,Eumetra,803,30.0,23.0,11.8,8.5,9.1,3.0,2.4,6.5,1.8,,0.8,,3.1,7.0
2024,11– 16 Sep,SWG,"1,200",30.3,22.8,11.7,8.1,8.4,3.0,2.6,7.0,1.7,,,1.1,3.3,7.5
2024,12– 13 Sep,Tecnè,,29.0,23.6,10.7,8.3,10.9,2.9,1.9,6.7,1.8,,,,4.2,5.4
2024,11– 12 Sep,Termometro Politico,"3,100",29.2,23.5,10.0,8.7,9.5,3.0,2.0,6.8,1.7,1.8,,0.9,2.9,5.7
2024,10– 12 Sep,Ipsos,"1,000",27.5,21.6,13.9,8.2,9.0,2.5,2.5,6.0,2.0,,,1.0,5.8,5.9
2024,10– 11 Sep,Eumetra,800,30.1,23.1,11.2,8.3,9.5,3.0,2.3,6.7,1.8,,,,4.0,7.0
2024,10 Sep,Euromedia,"1,000",29.7,23.9,10.3,8.9,8.8,3.3,2.5,5.4,1.8,1.0,0.6,0.7,3.1,5.8
2024,9– 11 Sep,Piepoli,500,28.5,22.5,11.5,8.5,8.5,3.0,2.0,6.0,2.0,,1.0,1.5,5.0,6.0
2024,9– 11 Sep,Ixè,"1,000",28.0,23.2,11.9,9.4,9.9,3.1,2.0,7.8,1.2,,,,3.5,4.8
2024,5– 7 Sep,BiDiMedia,"1,000",29.0,23.5,10.9,9.0,8.6,3.0,2.0,6.7,1.6,1.4,0.7,0.8,2.8,5.5
2024,5– 6 Sep,Tecnè,,28.9,23.8,10.5,8.2,10.7,2.9,2.0,6.5,2.0,,,,4.5,5.1
2024,4– 9 Sep,SWG,"1,200",30.2,22.5,11.5,8.3,8.5,3.2,2.6,7.2,1.7,1.1,,,3.2,7.7
2024,28 Aug – 2 Sep,SWG,"1,200",30.3,22.3,11.6,8.5,8.4,3.2,2.3,6.9,1.9,1.3,,,3.3,8.0
2024,28– 29 Aug,Quorum,"1,205",28.6,23.3,11.1,7.9,9.2,3.5,2.0,7.0,2.3,1.0,,,4.1,5.3
2024,29– 30 Aug,Tecnè,,29.1,24.0,10.8,8.3,10.8,2.8,2.0,6.2,1.6,,,,4.1,5.1
2024,28– 29 Aug,Termometro Politico,"2,900",29.5,23.8,9.9,8.6,9.1,3.1,2.1,7.0,1.6,1.9,,0.9,2.5,5.7
2024,21– 22 Aug,Termometro Politico,"3,200",29.3,23.7,10.1,8.5,9.0,3.2,2.1,7.0,1.7,1.8,,1.0,2.6,5.6
2024,5– 16 Aug,Lab2101,"1,000",28.9,23.0,11.0,9.3,9.0,3.4,2.6,5.4,2.0,,0.7,1.5,3.2,5.9
2024,3 Aug,Lab2101,"1,000",28.7,23.2,10.9,9.2,9.1,3.3,2.6,5.5,2.1,,0.9,1.5,3.0,5.5
2024,24– 29 Jul,SWG,"1,200",29.8,22.7,11.4,8.3,8.3,3.2,2.4,6.7,2.0,1.5,,,3.7,7.1
2024,25– 26 Jul,Tecnè,"1,001",28.9,24.6,9.8,8.5,10.3,3.0,1.9,6.7,2.0,,,,4.1,4.1
2024,25 Jul,Euromedia,,28.7,23.5,10.4,9.2,9.0,3.4,2.4,5.6,1.5,1.1,0.9,1.0,3.3,5.2
2024,24– 25 Jul,Termometro Politico,"3,000",29.6,24.0,9.7,8.3,9.4,3.1,2.0,6.9,1.7,2.0,,1.0,2.3,5.6
2024,23– 25 Jul,Ipsos,"1,000",27.9,22.6,13.0,8.0,8.7,3.0,2.3,6.4,,1.6,0.8,1.0,4.7,5.3
2024,22– 24 Jul,Piepoli,500,28.5,22.5,11.0,8.0,8.5,3.5,2.5,6.5,2.5,1.5,1.0,1.5,2.5,6.0
2024,17– 22 Jul,SWG,"1,200",30.0,22.8,11.1,8.5,8.3,3.4,2.4,6.9,1.8,1.4,,,3.4,7.2
2024,21 Jul,Lab2101,"1,000",28.2,23.5,10.5,9.1,9.3,3.2,2.7,5.3,2.2,,0.7,1.4,3.9,4.7
2024,18– 19 Jul,Tecnè,"1,001",28.7,24.6,9.8,8.4,10.2,3.2,2.0,6.9,2.0,1.6,,,2.6,4.1
2024,17– 18 Jul,Quorum,"1,202",28.5,23.8,10.5,8.6,9.3,2.9,1.9,6.4,2.1,1.3,,1.2,3.5,4.7
2024,16– 18 Jul,Termometro Politico,"3,000",29.2,24.0,9.9,8.5,9.6,3.1,1.9,7.1,1.6,1.9,,1.0,2.2,5.2
2024,10– 15 Jul,SWG,"1,200",29.6,23.0,10.8,8.4,8.7,3.5,2.2,7.0,1.8,1.5,1.0,1.0,1.5,6.6
2024,11– 12 Jul,Tecnè,"1,005",28.7,24.5,9.7,8.5,10.0,3.1,1.9,6.8,2.2,1.9,,,2.7,4.2
2024,9– 11 Jul,Termometro Politico,"3,000",29.1,24.3,9.6,8.8,9.5,3.2,2.0,6.9,1.6,2.1,,1.0,1.9,4.8
